classCode,className,professorName,classExplanation
EALC 1711,East Asian Diplomacy,"F. Dickinson, Do Melo De Nascimento","Home to four of the five most populous states and four of the five largest economies, the Asia/Pacific is arguably the most dynamic region in the twenty-first century. At the same time, Cold War remnants (a divided Korea and China) and major geopolitical shifts (the rise of China and India, decline of the US and Japan) contribute significantly to the volatility of our world. This course will examine the political, economic, and geopolitical dynamism of the region through a survey of relations among the great powers in Asia from the sixteenth century to the present. Special emphasis will be given to regional and global developments from the perspective of the three principal East Asian states--China, Japan and Korea. We will explore the many informal, as well as formal, means of intercourse that have made East Asia what it is today. Graduate students should consult graduate syllabus for graduate reading list, special recitation time and graduate requirements."
CBE 4790,Biotechnology and Biochemical Engineering,Zeenat Bashir,"The objective of this course is to teach junior CBE students the application of chemical engineering principles to biological systems in order to design biochemical processes. At the end of the course, students should be able to describe a process to produce and isolate a protein from a host cell. Students will work in groups on a current biotechnology topic related to chemical engineering that will be presented to the class and written as a final report. One of the course goals is to prepare students for a successful biotechnology lab experience in CBE 4800. Problem solving, models, open-ended problems, technical communication skills, and teamwork will be emphasized."
ITAL 1430,History of Opera,Mauro Calcagno,"An investigation, through a series of representative works, of the central problem of opera: how does the combination of music, text, and visual spectacle create an art form in which the whole is more powerful than its parts. Today this issue can be examined not only in live performances but also through media such as film, DVD, streaming video-- media to which this four-centuries-old multimedia form has adapted, evolving in still compelling ways. The works chosen for the course provide a chronological survey but also represent the variety of sources on which opera has drawn for it subject matter: myth and legend, the epic, the novel, and the play."
RELS 0305,Great Books of Judaism: Jews Write Their History,Talya Fishman,"Since the early medieval period, Jews have been known as ""the People of the Book"". Yet the books they produced and consumed changed drastically over time and place, spanning a variety of known genres and inventing new ones. These works, in turn, shaped the texts, ideas, and lives of Jews and others for millennia, spawned vast commentary traditions, and inspired new works. This course engages prominent Jewish texts, such as the Hebrew Bible, Rabbinic Literature, the works of major medieval philosophers, pre-modern intellectuals, and modern authors, situating them in their literary, cultural, and social contexts, and examining their later reception."
NRSC 2270,"Drugs, Brain and Mind",Michael Kane,"The course will begin with a review of basic concepts in pharmacology including: routes of drug administration, drug metabolism, the dose response curve, tolerance and sensitization. Following a brief overview of cellular foundations of neuropharmacology (neuronal biology, synaptic and receptor function), the course will focus on several neurotransmitter systems and the molecular and behavioral mechanisms mediating the mind-altering, additive and neuropsychiatric disorders, including depression, schizophrenia and anxiety with an emphasis on their underlying neurobiological causes, as well as the pharmacological approaches for treatment."
PHYS 4411,Introduction to Quantum Mechanics I,Charles Kane,"An introduction to the principles of quantum mechanics designed for physics majors and graduate students in physics-related disciplines. The Schrodinger equation operator formalism, central field problem, angular momentum, and spin. Application to one-dimensional and central field problems."
CIMS 2665,"Fakes, Forgeries and Forensics in Digital Media",Elizabeth Scheyder,"Fake images on social media are just one of the latest examples of fabrications and modifications that have taken media into dubious territory throughout history. This course will analyze the history of fakes and forgeries and consider whether they devalue the original or not, or even have value in themselves. Along the way, students will learn how fakes and forgeries have been created, what tools can be used to counter the onslaught of illicit creations, and the arts and humanities debates that have arisen surrounding them. After evaluating the ways various media have been modified over time, this course will show students how to use photo manipulation tools to modify digital media. It will also show students how to perform various detailed analyses of digital media to determine their legitimacy. A final project will bring these tools together, as groups of students create a fake or forgery, consider its implications and evaluate a tool’s ability to detect it."
DSGN 2260,Pixel to Print,Kayla Romberger,"This studio course introduces students to the world of print media and circulation through techniques in Risograph (a high-speed digital printing system developed in Japan in the 1980s), xerography, and letterpress, focusing particularly on the format of posters and artists' ephemera. Beginning with the Adobe Creative Suite, students will create their own broadsides, flyers, announcement cards, and print-based installations throughout the course, exploring ways in which artists and designers make use of the printed form to disseminate information; initiate happenings; advertise events; or foment change. Students will learn about some of the most significant producers working within this realm--from Dada to punk bands in the '70s to contemporary hybrid publishing collectives--and develop skills in page layout, typography, and design; digital to analog pre-press and post-print production methods; and mechanized and hand-pulled press operations. The course includes a field trip to NYC."
CIS 3990,Mathematics of Machine Learning,Eric Wong,"Enrollment for this course will be by permission only. Students will need to request permission (https://bit.ly/3Ru2uVr) for this course in order to be considered for enrollment. Once you have requested permission we will add you to the CIS Waitlist when it opens up towards the end of the Spring semester. CIS Waitlist Info: https://advising.cis.upenn.edu/waitlist/ Course Info (https://www.cis.upenn.edu/~exwong/moml/): This course provides a mathematical background to prepare for proving theories and studying advanced topics in machine learning. Topics covered include probability/statistics (random variables, distributions, moment generating functions) to prove concentration inequalities, linear algebra/functional analysis (vector spaces, inner products, Hilbert spaces) to show representer theorems, and multivariate calculus/optimization (differentials, Taylor expansion, convexity) to derive convergence rates."
NURS 3760,"Issues in Nutrition, Exercise, and Fitness",Kelly Dougherty,"An examination of the scientific basis for the relationship between nutrition, exercise and fitness. The principles of exercise science and their interaction with nutrition are explored in depth. The physiological and biochemical effects of training are examined in relation to sports performance and prevention of the chronic diseases prevalent in developed countries."
REES 2670,Shaping Russian Society: Soviet Heritage and Transformation,Maria Bourlatskaya,"This Russian–language content course continues to develop students’ functional proficiency in speaking, writing, reading, and listening. The course is designed to familiarize students with contemporary Russian society and its historical background. It covers the current political, economic, and societal developments in Russia, focuses on a variety of issues central to Russian society since the fall of the Soviet Union, including the search for national identity, changing values, and popular perceptions of Westerners and Western practices. We will observe the business community and its relations with the government, trace the origin of Russian oligarchs and entrepreneurs and investigate how informal Soviet practices and the criminal world shaped the current business environment. Course materials will include interviews, articles, essays by leading Russian journalists and statesmen, and contemporary Russian movies.
Course is taught in Russian. Placement required for students new to Penn Russian Language Program."
