name,explanation
Wharton Undergraduate Media and Entertainment Club,"UME is proud to be one of the largest student-led media & entertainment organizations at the University of Pennsylvania. We explore numerous channels of the M&E industry, including music, film, gaming, and television. We host numerous events and partner with a number of organizations on and off campus to bring the most thoughtful speakers, meaningful workshops, and professional networking sessions to our members. Through our conscientious and consistent efforts to maintain relationships with alumni and build new relationships with current members, we hope to bridge the gap between business and the vast and exciting world of media & entertainment."
Sports Analytics Group at Penn (PSAG),"Sports Analytics Group at Penn (PSAG) aims to foster a community of students passionate about sports analytics. We are a student group at the University of Pennsylvania currently focused most heavily on basketball but also perform analysis for baseball and football, and we are also looking into expanding towards Lacrosse and Strength & Conditioning. Our purpose is to give the teams a competitive advantage by providing the coaching staff with a statistical analysis of practices, their own teams, and/or their opponents. 

The coaching staff identifies areas on the basketball court they want to improve. Working with the coaches’ input, this group determines methods to quantify these areas. The group works throughout the week to present the data in a dashboard or presentation that is easy for the coaches to understand. With this data, the group intends to use a multifaceted approach to better inform the coaches by building predictive models and tracking improvement throughout the season."
Admissions Dean's Advisory Board,The University of Pennsylvania’s Admissions Dean Advisory Board is a student group that works to apply authentic and diverse student voices in the initiatives of Penn Admissions by collaborating with staff to create and execute tangible results.
Engineering Deans' Advisory Board,"EDAB is a student-run board that seeks to enhance the undergraduate experience by acting as a liaison between Penn Engineering students, faculty, and administration.

EDAB meets weekly to research and develop initiatives and deliverables. These projects range from improving the social ambiance of Penn Engineering to understanding which processes lead students to take on extra degrees and minors. We then present our findings in bimonthly Deans’ meetings, in which we meet with Dean Kumar, Associate Dean Ghrist, Director of Student Life Sonya Gwak, Director of Comm. Joan Gocke, Director of Administrative Operations Chambrel Jones, CETS IT Senior Director Kris Varhaus, and other faculty from around the school."
"Engineering Student Activities
Council","ESAC is a student group at the University of Pennsylvania that coordinates the activities of the various undergraduate organizations and acts as a liaison between undergraduate engineering students, SEAS faculty, and administration. We are a group of student leaders committed to building a stronger undergraduate engineering community by supporting student clubs and organizations through advising and providing resources."
Nominations and Elections Committee,"As one of the six branches of Penn Student Government (PSG), the NEC strives to ensure undergraduates are adequately represented at all levels of the university. We fulfill this mission by running elections and enforcing university election codes for the elected branches of Penn Student Government, nominating students to Penn's twenty-seven university wide committees and the university's highest deliberative body, the University Council, and educating the student body about student government affairs."
Penn Traditions,"Penn Traditions is a unique approach to student philanthropy and engagement education and programming, with the objective of creating student understanding and awareness of Penn's institutional mission, history, and traditions, the financing of higher education, University goals, and the role of alumni and students in the Penn community. Penn Traditions is comprised of three branches, all led by student leaders, and provides involvement opportunities for students of all class years!"
Social Planning and Events Committee (SPEC),"The Social Planning and Events Committee (SPEC) is one of the branch of student governance that is responsible for planning a variety of social events and traditions on campus. There are eight committees under SPEC: Concerts, Connaissance, Film, Jazz & Grooves, Pop Up, Sound, SPEC-TRUM, and Spring Fling (Daytime).

If you have a creative mind and a passion for uniting students with fun and innovative events, you should reach out to any committee or our executive board to join. There is no limit on the number of committees that you can join. No application or interview is needed for any of the committees. "
SPEC Connaissance,"SPEC Connaissance (also known as Conn) is the SPEC sub-committee tasked with bringing high-profile speakers to campus who challenge, educate, and entertain the student body. Past speakers include Laverne Cox, Trevor Noah, Spike Lee, and Hunter Schafer. SPEC Connaissance is a student group at the University of Pennsylvania."
SPEC Film,"SPEC Film Society is a student group at the University of Pennsylvania that hosts free advanced screenings of upcoming movies and screens recent releases at least twice per month. SPEC Film also has an annual speaker series, which in the past has featured famous actors, directors and producers such as Simu Liu, H. Jon Benjamin, Zach Braff, Jesse Tyler Ferguson, Joseph Gordon Levitt, Aaron Sorkin, Kenan Thompson, Michael Cera, Woody Harrelson, and others. "
SPEC Jazz & Grooves,"Jazz & Grooves is a student group at the University of Pennsylvania that brings up-and-coming artists to Penn's campus throughout the year. Our shows are open to both Penn students and the local public. Past talent includes Faye Webster, Perfume Genius, Moses Sumney, 100 gecs, Eartheater, SiR, Choker, Omar Apollo, Tierra Whack, Smino, and EARTHGANG, among others."
SPEC Pop Up,"Mission: To plan and host a variety of free spontaneous giveaways, events, and activities throughout the year for students to enjoy a break from classes! We are a student-run committee within student government at the University of Pennsylvania."
SPEC Sound,"SPEC Sound provides, maintains and runs the technical equipment for events hosted by a variety of student organizations, including Management 100 teams, sororities and fraternities, bands, and other SPEC committees. SPEC Sound provides services to charity events free of charge. SPEC Sound covers a broad array of tech and production support in a variety of contexts. Paid position!!"
SPEC Spring Fling Daytime,"Welcome to the Spring Fling Committee, a branch of the Social Planning and Events Committee (SPEC)! Since 1973, Spring Fling has been the ultimate student festival at Penn and is the largest student-run festival in the East Coast. Spring Fling spans over two days in April, with the concert taking place on Friday night (run by the SPEC Concerts committee) and the daytime festival taking place on Saturday (run by us)!

As part of the daytime festival, nearly 4,000 students enjoy free food, inflatables, merch, live performances by student groups, and much more on Penn Park!

As part of the Spring Fling committee, you will get the chance to be involved in the marketing, logistics, and sponsorship planning of the festival. No application need to be a part of the committee. To join, subscribe to our newsletter and attend our General Body Meetings."
Student Committee on Undergraduate Education,"The oldest branch of Penn Student Government, SCUE seeks to address any issue which affects undergraduate education or the intellectual atmosphere at Penn. We work to enhance and expand curricular opportunities, advising, academic options, and the overall quality of the undergraduate academic experience. We serve our duty in various roles: both as advocates for the student body and as advisors to the faculty and administration. "
Undergraduate Assembly,"The Undergraduate Assembly (UA) is the elected, representative organization of undergraduates at Penn, charged with improving life for all students through funding, services, and advocacy.
How we work:
We lobby for tangible change at Penn based on student needs
We represent students to administrators and outsiders
We bring students from different groups and identities together (see UA Steering)
We provide services to improve student’s quality of life (see UA Services)
We fund the other branches of student government and, by extension, all student groups on campus (see Budget)
"
Underrepresented Student Advisory Board in Engineering,"USABE strives to create a welcoming, diverse and inclusive community among engineers through underrepresented student advocacy. This entails connecting, empowering, and amplifying the underrepresented voices throughout SEAS. In doing so, we aim to:

Facilitate meaningful, actionable discourse around the collective experiences of our underrepresented engineers through surveys and town halls.
Provide useful resources and programming centered around academic, personal, and professional development.
Present our findings to the Dean of Engineering and Office of Diversity, Equity, and Inclusion (ODEI) to express student sentiments and create opportunities for administration to further support the needs of underrepresented students and better promote diversity and inclusivity throughout SEAS. "
Wharton Dean's Undergraduate Advisory Board,"The Wharton Dean's Undergraduate Advisory Board (WAB) is Wharton’s oldest student leadership organization. Our nearly 40 year legacy rests on the mission of enhancing the Wharton undergraduate academic experience. Board members have the opportunity to collaborate with the highest levels of Wharton’s leadership, leaders in various industries around the world, and the student body. By generating and implementing initiatives that have a positive impact on the learning environment, WAB makes it a priority to integrate student voices into the school we call home."
Alloy Media,"Alloy Media is a community-based student media group at the University of Pennsylvania that produces projects and events in film, fashion and photography. Executive members help facilitate and coordinate the creation of projects in their respective disciplines and source creatives for projects from our member base. General members can participate in the creation of Alloy projects as well as use the network to help source collaborators for their own projects. Alloy puts on brainstorming/collaboration events for its members and art events/shows for the Penn community. We work with the existing creative networks at Penn to amplify their goals while establishing a creative unit across campus.The purpose of each Alloy event is to foster togetherness through the sharing of art and elevate/support local causes in Philadelphia."
Arts House Dance Company,Arts House Dance Company is a student-run dance company at the University of Pennsylvania that performs everything from contemporary to ballet to hip-hop. We're a group of dancers from every background you can think of— we can't wait to dance with you!
Bloomers Comedy Troupe,"Bloomers is Penn's sketch comedy group for ABCDs (anyone but cis dudes!). We write and produce sketch comedy both on stage and in the digital format.

The heart of Bloomers has long been its completely student-run productions. Currently, Bloomers shows are held in October and March. Our shows are composed of completely new material, written by each year’s group of Bloomers, and often have an overarching theme. Join any one of our 6 sections to help us create our shows!

Our Cast choreographs, directs, and performs an original SNL-esque sketch comedy show each Fall and Spring. Band arranges and performs songs during the shows, as well as at outside formals and parties. Writing ideates our show concepts and digital content scripts from the ground up. Tech constructs immersive sets while managing light and sound design. Costumes designs all character attire from ‘Camp Counselor 2’ to a life-size Penn Quaker mascot costume. And Biz (Business) manages all things production - from finances to graphic design."
CityStep,"We are a student community service group at the University of Pennsylvania that teaches dance to students in West and South Philadelphia schools. We serve as role models and mentors for the kids, introducing them to dance as a creative outlet for self-expression and development. At the end of the year, we hold an annual show with our students to perform for their friends, family, and community supporters."
Dischord A Cappella,"Founded in 1998, Dischord is the University of Pennsylvania's premier Pop and R&B all gender A Cappella group. We are student run and perform one show per semester, in addition to a variety of outside gigs. We cover artists like The Weeknd, Lizzy McAlpine, Coldplay, Beyonce, Mariah Carey, Bruno Mars, and more. Although we are a singing group, we like to say that we are 49% music and 51% family!"
Disney A Cappella,"Disney A Cappella is a student organization at the University of Pennsylvania that seeks to spread happiness via Disney songs and service to the community. By performing at hospitals, schools for children, and throughout campus, Disney A Cappella embodies the Disney message in song."
Freaks of The Beat,"We are the only student group focused on breaking at the University of Pennsylvania. We believe that Hip-hop, Breaking/Bboying, and dance are something that can be shared by all. We seek to share this vision with the Penn and Philadelphia community by developing our members individual skills through training, performing at on and off campus events, and by entering competitions to represent the University of Pennsylvania."
Fuerza,"Fuerza is Penn's first and only student-run Latinx music group. Founded in 2019, our mission is to provide a safe space for students at Penn and in the greater Philadelphia area to creatively explore Latinx culture through musical performance. We are Latinx inspired, not Latinx exclusive."
Full Measure,"Full Measure is the University of Pennsylvania's only Christian a cappella student group. Our name comes from Ephesians 3:16-19: ""I pray that out of his glorious riches he may strengthen you with power through his Spirit in your inner being, so that Christ may dwell in your hearts through faith. And I pray that you, being rooted and established in love, may have power, together with all the saints, to grasp how wide and long and high and deep is the love of Christ and to know this love that surpasses knowledge, that you may be filled to the MEASURE of the FULLness of God."" (NIV).

More than an a cappella group that sings Christian songs, Full Measure seeks to actively serve our community as an outward-pointing ministry, sharing the gospel of Jesus Christ to others around us. By the power of the Holy Spirit, our hope is that our music would be a testament to the love of God, inspiring those on Penn’s campus and the larger Philadelphia community to know Jesus Christ."
Fundlery,"Our mission is to help health-related causes, non-profit organizations, and/or clinics through selling hand-crafted jewelry. The club is for those interested in furthering their passion in arts and healthcare. We hold regular sessions to craft bracelets/earrings/rings either using jewelry kits or threads purchased online. We will hold voting sessions throughout the year to decide on the non-profit organization or cause we would like to support. The finished jewelry will be advertised through social media (primarily Instagram) along with the cause or organization that the profit will go towards. The primary target consumers will be any Penn students expressing interest in supporting the causes/organizations. No prior experience necessary, just interest in making jewelry and supporting health-related causes!"
Kapacity,"Kapacity is a student-led rock band that features electric guitars, bass, keyboard, drums, and vocals. We are a tight-knit crew of ~15 musically talented Penn students who love music. We feature genres such as but not limited to K-pop, British pop, Rock-Ballad, and Jazz."
Keynotes A Cappella,"We're a co-ed student a cappella group under the University of Pennsylvania that performs music spanning across a variety of genres, including pop, indie, alt, and rock. The Keynotes mission is to foster musical talent and creativity, particularly by exclusively using arrangements created by its own members. Keynotes aims to share this creativity with others through performances. "
Monolith Arts Program,"Be a part of the first UPenn Black art gallery showcase and Black Visual Arts Collective!
Join this Black Visual Arts Collective to help orchestrate a exhibitions for and by Black Creatives, as well as to promote your personal art and engage in conducive feedback sessions and workshop different creative ideas with other like-minded individuals. 
Our aim is to cultivate spaces at Penn where visual arts by Black students can be appreciated and exchanged. By nurturing spaces in which Black art can be appreciated and exchanged, we strive to create a larger arts community and promote the diversity of Black art at Penn."
Off the Beat,"Off The Beat is the premier modern rock & pop student a cappella group at the prestigious University of Pennsylvania. Rooted in rock music, our repertoire now spans a range of genres from pop and R&B to electronic and funk.

Founded in 1987 and now in our 36th year, Off The Beat has become one of the most decorated collegiate a cappella groups in the US winning over 30 CARA Awards, being featured on 17 Best of Collegiate A Cappella (BOCA) albums, and starring in the second season of POP TV's aca-documentary television series, ""Sing it On!"""
Onda Latina,"In the Fall of 1996, a small group of students had the vision to educate the PENN community about Caribbean and Latino culture through dance. Together they founded Onda Latina, which means ""Latin Wave,"" Penn's first and only dance group of its kind. That very same semester, Onda gave its first performance as an exhibition for the Lambda Upsilon Lambda Thanksgiving Dinner. Since then, Onda Latina has become an immensely popular name on this campus and in the community, performing to sold-out crowds every semester. Over the years, the Onda Latina family has grown to over 40 members, which brings together many ethnic backgrounds, unique talents, and fresh ideas. Our passion for dance, however, goes far beyond Penn's campus. Not only do we guest perform for various campus organizations and events, but we also spread our special flavor throughout the community and at other colleges and universities. Our goal is to continue in the tradition of ONDA LATINA, as promoters of education, entertainment, and the true experience of dance: fun."
Pan-Asian Dance Troupe,"We are a student dance troupe at the University of Pennsylvania seeking to celebrate and educate the community on Pan-Asian culture through traditional, modern, and fusion dances, and to establish an organization in which people of all nationalities can learn to express themselves through the art of dance!"
Penn Animation,"Penn Animation is a student-run, multiple animator project production club at the University of Pennsylvania. We are a welcoming space for students of all different experience levels and interests to learn and most importantly, enjoy! the experience of animation through contributing to an ongoing multiple animator project!

We strive to be a place for those who are simply curious about animation as medium that we believe expresses thought-provoking ideas, inspiring life lessons, or simply awestruck sceneries to both adults and children alike."
Penn Yoga and Meditation Community,"We are a Penn student community that explore various practices such as meditation (e.g. chakra, transcendental, Buddhist, sound), yoga (e.g. vinyasa, kundalini), breathwork (e.g. Wim Hof method, psychedelic) among others to explore altered states of consciousness and their effects on our emotions - whether it's stress alleviation, energy, love, or ecstacy.

As individuals with our personal emotions, we come together and share in a loving space of mutual care and connection with the common goal of healing, growing, and exploring."
Penn Atma,"Atma is UPenn's award-winning, female-identifying South Asian fusion a cappella student group! Since the inception of the group at the University of Pennsylvania in 2002, Atma has been most noted for bringing together a wide variety of genres to create a deep and unique sound. Today, the ladies of Atma continue to develop musically, exploring new sounds and ideas, and driving performances with expression and personality."
Penn Ballet,"Penn Ballet was created to allow ballet dancers of any level at the University of Pennsylvania to continue their classical ballet education through classes with professional ballet teachers from the Philadelphia area. The group is dedicated to helping dancers at Penn continue doing what they love despite the stress and time constraints of a rigorous academic environment. Classes are FREE and open to all Penn students looking to maintain or improve their skills, try their hand at choreography, or simply get some exercise without running and crunching for hours on end.

Penn Ballet is also a student-run company. Advanced and committed dancers may audition for our shows to learn and perform challenging repertoire. As Penn's ONLY student group devoted to ballet, we are committed to improving as ballerinas in technique as well as performance."
Penn Band,"The Penn Band was founded in 1897, making us one of the oldest student groups on campus. With about 150 members from 25 states and 14 countries, we are also one of the biggest groups at Penn and one of the largest bands in the Ivy League. We assemble over 100 times each academic year, making us among the most active college bands in the country. 

Throughout the year, we attend Penn football games and most men's and women's basketball games. Along with traveling to sporting events, we also represent Penn at special events in Philadelphia and across the Northeast. We remain on campus before and after the school year to make a presence at New Student Orientation and at Commencement. Finally, we pride ourselves on our community outreach, which includes performing at local events like the annual Take Back the Night March, visiting local elementary schools to inspire a love for music, and inviting high school band students to play alongside us at games!

Our plans for this school year include a mix of in-person and virtual events, like sporting games, movie/game nights, and other section-specific events."
"Penn Chinese Dance Club
","The Penn Chinese Dance Club (PCDC) is a student-run, non-profit dance group dedicated to practicing classical and folk chinese dance. Founded in May 2006 as a self-organized group of dance lovers at the University of Pennsylvania, we have flourished into a major performing arts troupe in philadelphia. PCDC’s mission is the enrichment and promotion of traditional chinese arts and culture through dance exercises, instructions, and collaborations."
Penn Counterparts,"Counterparts is Penn’s oldest all gender student a cappella group. Founded in 1981, Counterparts has a repertoire spanning from pop hits to jazz standards - including Etta James' ""At Last,"" hits like Radiohead’s “Creep,"" and alumnus John Legend’s “Slow Dance"" (CP '99)."
Penn Dance Company,"Penn Dance was founded in 1975 as the first performing dance company at the University of Pennsylvania. Penn Dance is a co-ed, student-run dance company that prides itself on its innovative and expressive performances. While primarily a modern dance company, our dancers come from a variety of backgrounds and have been trained in styles ranging from ballet to modern to hip-hop to Latin. Influenced by various techniques and forms of movement, our performances contain a unique array of styles."
Penn Dhamaka,"Penn Dhamaka is the University of Pennsylvania's premier competitive all-male fusion dance troupe. Dhamaka peforms a variety of dance styles, including Bhangra, Hip-Hop, Bollywood, Kuthu, Raas, and more. They strive to spread their passion for dance, entertainment, and the cultures of South Asia to people across the country, while also developing a sense of brotherhood and community among the team. In addition to their annual Fall show at Penn, Dhamaka travels to competitions at various campuses around the East Coast."
Penn Glee Club,"The University of Pennsylvania Glee Club began modestly on November 5, 1862, when eight undergraduate men formed the Club, making it the oldest performing arts group at the University. Later that year, the Glee Club held its first performance in the old Collegiate Hall at 9th and Chestnut Streets for “an audience that was unusually select and large, the Hall filled to its utmost capacity.” At this concert, each member wore a red and blue ribbon through their lapel, making the Club the first group to wear the University’s colors as part of its uniform. The Penn Glee Club has toured internationally since 1959 and has traveled to nearly all 50 states in the United States and more than 40 nations and territories on five continents. Since its first performance at the White House for President Calvin Coolidge in 1926, the Club has sung for numerous heads of state and world leaders. The modern Club is a reflection of its rich heritage and its contemporary character. Now in its 161st season, the University of Pennsylvania Glee Club remains, as former Pennsylvania Governor Milton Shapp once remarked, “one of the finest musical organizations in existence.” It proudly represents the University in its grand tradition and is equally proud to preserve its distinctive blend of choral excellence and theatrical showmanship, the hallmark of the Penn Glee Club."
Penn Hype Dance Crew,"Penn Hype Dance Crew is a SAC-sponsored, co-ed, hip hop fusion student dance team at the University of Pennsylvania that creatively and uniquely explores various styles of traditional and modern dance. Established in 2005, Hype is comprised of members from various backgrounds, and aims to bridge cultural divides through the fusion of diverse dance styles. Each year, Hype participates in various types of performances, collaborative events with other organizations, and instructional workshops both on campus and in the community. Additionally, Hype presents a full-company show during the spring semester.
"
Penn Jazz,"Penn Jazz is a short name for the student-run Jazz Big Band at the University of Pennsylvania. The group is student-run and led, with the assistance of musical director Skyler Hagner. The group was formed in the fall of 1973, and since then, has performed with numerous jazz legends such as Dizzy Gillespie, McCoy Tyner, the Count Basie Orchestra, Wynton Marsalis, and most recently, Christian McBride. We perform a show towards the end of each semester to exhibit our work in learning and mastering big band arrangements, among other tunes. Our performances are healthily attended by Penn students, Penn faculty, and friends and family."
Penn k-Beats,"k-Beats is the only official undergraduate student dance group on the campus of the University of Pennsylvania that specializes in K-Pop dance. We aim to promote K-Pop culture through various performances on and off campus, on multiple social media channels, as well as through our annual show held on campus. Do you love dancing or jamming to K-Pop 🎧? If so, k-Beats is what you've been looking for. Come dance with us!"
Penn Lions,"Penn Lions is the Greater Philadelphia region's premier collegiate lion dance troupe. The troupe was formed in 2007 as a branch of Chinese Students Association and has since evolved into its own entity. Since then, this student group has performed not only on campus, but all across the East Coast for weddings, a countless number of schools, festivals, TV stations like NBC and ABC, Philadelphia's mayor Michael Nutter, the USMNT, and more! "
Penn Masala,"Penn Masala, comprised of students from the University of Pennsylvania, is the world’s first and premier South Asian a cappella group, founded in 1996 with the desire to create music that traversed traditional cultural boundaries and captured the experience of growing up with both Eastern and Western cultures. As the first group in the world to bring the sounds of the Indian subcontinent to a cappella, Masala has consistently been at the forefront of South Asian-Western fusion ever since. Since we started off in ’96, we’ve performed in India, at the White House, the Indian International Film Academy (IIFA) Awards, and the group was featured in the Hollywood feature film and soundtrack for Pitch Perfect 2. To date, Penn Masala has released 11 studio albums, most recently Musafir in February 2020."
Penn Masti,"Performing Arts Group: Student group at the University of Pennsylvania
"
Penn Raas,"Garba Raas is an energetic Indian folk dance originating in Gujarat that has now evolved into a full-fledged competitive dance circuit in America. Formed in 2007, Penn Raas is UPenn's very own garba/raas team composed of both undergraduate and graduate students and is an official SAC funded University of Pennsylvania club.
In addition to performing in front of our hometown crowd at Penn, we have traveled across the country competing in several competitions such as Raas Chaos in Washington D.C., Maryland Masti, and Dandia on Fire at Penn State, even qualifying to compete at the Raas-All Stars National Championship in Dallas, TX in 2010.
Each year, we hope to spread the passion of this dance form with traditional music mixed with upbeat tunes, a wildly vibrant choreographed dance piece, and strong facial energy that reflects the pure joy and fun of dancing with your friends that become family on stage."
Penn Records,"Penn Records is a student-run record label on campus focused on fostering the live music scene at Penn by functioning as an artist and event promoter. Penn Records aims to provide student artists, bands, and DJs with the necessary resources for performing their original music and succeeding in the music industry. Penn Records hosts concerts, open mics, and charity events."
Penn Sargam,"Penn Sargam is one of America's first student-groups dedicated to promoting South Asian fusion music. Established in 2004 by students at the University of Pennsylvania, Sargam brings together music ranging from Hindustani, Carnatic and Western Classical to Bollywood, Pop and Rock. Our group is as diverse as our music, featuring musicians from all over the world."
Penn Shabbatones,"The Shabbatones were founded in 2001 as the University of Pennsylvania’s premier student-run Jewish a cappella group.

We specialize in popular American, Israeli, and Jewish music, and all of our arrangements are composed, directed, and performed by students. Shabbatones members and alumni include undergraduate and graduate students. We come from a variety of Jewish backgrounds, unified by a love for Jewish music and a commitment to being the voice of one of the largest and most vibrant Hillels in the nation.

In the twenty years since the Shabbatones began, we have performed for a variety of audiences at Penn and throughout the world. During university semesters, the group enjoys performing at synagogues, schools, and other venues across the Northeast. During our winter breaks, the group has gone on tour to places including California, London, South Florida, Houston, and New Orleans. Some of our highlights include singing at the White House Chanukah Party, performing at sports games for the Phillies and the Sixers, and taking the stage at Disneyland. "
"Penn Singers Light Opera
Company","Penn Singers Light Opera Company is a four-year student musical theatre company based at the University of Pennsylvania that values inclusivity of all genders, races, sexual orientations, and identities. We are a tight-knit community of performers, musicians, and technicians committed to producing top-notch musical theatre and having fun! "
Penn Six,"Penn Six is Penn's premiere parody comedy acapella group. Just a bunch of people who like to sing, and long walks on the beach... We perform our own original parodies along with covers of your favorite pop and other hits. Sketch comedy and videos included at no additional charge."
Penn Symphony Orchestra,"The Penn Symphony Orchestra was founded in 1878 and is comprised of musicians from throughout the University community, primarily non-music majors. Under the musical direction of Maestro Thomas Hong, this student ensemble rehearses three to four hours each week and performs a wide range of repertoire drawn from the eighteenth, nineteenth, and twentieth centuries. The Penn Symphony Orchestra rehearses and performs in historic Irvine Auditorium on Penn’s Campus."
PENNaach,"PENNaach, the University of Pennsylvania's premier South Asian Dance Troupe was founded in 1997 to promote South Asian culture through forms of traditional, classical and modern dance. Naach is the oldest surviving Indian fusion dance team in the country.

PENNaach's unique pieces fuse South Asian dance styles with Western dance styles.

The team performs in competitions and showcases both on and off-campus. An annual show each February presents self-choreographed pieces with styles from Bharatnatyam and Kathak to Garba and Bhangra to Modern Bollywood and Hip Hop and much more. Dancers on the team have the opportunity to learn many different dance styles as a result.  "
PennSori A Cappella,"PennSori is the premier Korean A Cappella Student Group at the University of Pennsylvania. We perform a mix of Korean and American songs of all genres (K-Pop, K-RnB, K-Ballad, K-HipHop, jazz, rock, pop, etc.) in order to serve as a cultural bridge between Korean and American cultures. We welcome students of any and all cultural backgrounds! Fluency in Korean is not at all required."
PennTango,"Tango classes for the Fall 2021 and Spring 2022 are contingent upon safety guidelines provided by the University of Pennsylvania.

PennTango is a student group at the University of Pennsylvania which promotes the enjoyment of Argentine tango at the University of Pennsylvania by offering classes and a community of dancers. Argentine Tango is a highly social dance form, emphasizing connection and improvisation. PennTango's membership consists of a fun group of social dancers interested in improving their tango skills and building a larger community to go out dancing with! We are not a performance group, and do not limit membership or hold auditions. We are open to all Penn students, faculty, staff and alumni!"
Penny Loafers A Cappella,"Founded in 1986, the Penny Loafers, or Loaf, is the University of Pennsylvania’s only all-gender indie-pop a cappella group. We perform an eclectic mix of songs in genres ranging from pop & indie to R&B, electronic, and more. To put it simply, we love introducing audiences to songs from up-and-coming artists and reinventing our favorite household jams. "
PennYo,PennYo is Penn's premier Chinese student a cappella group and the first collegiate Chinese a cappella group in the United States. We hope to spread the love for Chinese music to the Philadelphia community and beyond. We welcome students of all backgrounds to audition! Chinese proficiency is not required (we have members from all around the world)! All of our arrangements are written by current and past PennYo members. Check out some of our music!
Polyphonia @ Penn,"Polyphonia is Penn's first student-led joint Orchestra and Choir, performing works from early music to the modern day. We welcome all musicans; though we primarily expect to be composed of those instruments that make up a classical symphonic orchestra and choir, we absolutely are looking for creative ways to include nontraditional instruments into our repertoire as well!
If you're looking for a way to engage with the performing arts, but are worried about time committment, look no further! Polyphonia provides busy students an opportunity to continue engaging with the arts while keeping commitment attainable. Students may find it hard to maintain involvement with the arts while at Penn, so we hope to be able to create a space where they can enjoy music casually with the option of performance.
Furthermore, Polyphonia is a great platform for meeting other musicians of various talents, as our wide reach encompasses many different musical instruments and styles. It's a great way to find others to perform that Brahms quartet you've been dying to do, and we also hope to offer a stage to perform that quartet upon!
Finally, even if you don't play or sing but want to get involved, feel free to get in touch. We're always looking for people who want to help out, whether that be by making playbills, light or sound design, marketing or outreach, or just about anything we can think of!"
Quaker Girls,"The Quaker Girls Dance Team is a Penn student group that provides halftime entertainment at the University of Pennsylvania's Men's Football and Basketball games and supports the Red and Blue Penn spirit! We also dance at various campus events and fundraisers for other student groups. Each year, we perform at a Philadelphia 76ers game, one of our favorite events. Please contact us for information about joining the team!"
Quaker Notes,"Quaker Notes is the University of Pennsylvania's premier, nationally acclaimed all-female-identifying student a cappella group.

We sing a wide variety of music genres: pop, rock, r&b, and alternative. Our style is entertainment and we are committed to showing our audience a good time. All of our music is arranged by current Quaker Notes and alumnae, and we arrange & learn more than 20 new songs every year!"
Simply Chaos,"Simply Chaos is the University of Pennsylvania’s first and only stand-up student-run comedy collective. We perform at events around Philadelphia, sponsored campus events, and produce our own show every semester."
Soundworks Tap Factory,"We are a completely student-choreographed team that performs in and produces two shows during each academic year. Our unique style comes from the broad dance foundation of all our members, which includes rhythm tap, Broadway-style tap, hip-hop, jazz, and more! We bring in master tap teachers to help us continue to grow as tappers, though we consistently challenge each other with our own choreography!"
Sparks Dance Co,"Sparks Dance Company (SDC) was founded in 1989 as Penn's premiere dance company dedicated to both performing and community service. The company, which is managed by undergraduate students, maintains a high technical level of many styles of dance including ballet, contemporary, jazz, tap, and hip hop.

In addition to weekly technique classes, each semester culminates with a self-choreographed show. Company members also perform at other popular campus events throughout the year such as the Emily Sachs Dance Benefit, various coffeehouses, and Student Performing Arts Night. In addition to all of these performance opportunities, SDC members share their love of dance through community service at various Philadelphia locales, such as the KIPP schools, the Salvation Army, and the Ronald McDonald house."
Strictly Funk,"Strictly Funk is the premiere hip-hop and contemporary student dance group here at the University of Pennsylvania. The company was formed in 1997 with the intention of transcending the traditional boundaries of dance. It has been developing a performance culture of its own ever since. This diverse company of 20+ members from all of the Penn undergraduate and graduate schools, as well as the greater Philadelphia area, seeks to explore hip-hop, jazz, contemporary, free-styling, lyrical, breaking, locking, popping, and funk, while still recognizing the personal styles of individual dancers. Funk has no limits.

Each Funk show features an overarching theme, of which all numbers aim to explore from a different perspective. Theatrical dances and scenes implore both the audience and the dancers themselves to reconsider conventional paradigms through experimenting with movement. Shows run on a continuous soundtrack, breaking only for intermission, while also incorporating elaborate video and lighting."
TEDxPenn,"TEDxPenn is a nonprofit organization founded in 2010 by students who sought to empower ideas within and around the Penn community. We hold a license at the University of Pennsylvania to host the largest student-run TEDx conference in the world, and today our TedTalks have amassed over 15 million views on Youtube with a wide range of speakers, from NFL players to Penn professors to the creator of Apple Emojis. This coming spring, we plan to host our annual conference where 1000 attendees are invited to engage with TedTalks about technology, entertainment, and design. Check out TED talks from our previous conferences here: https://www.youtube.com/results?search_query=tedxpenn

The TEDxPenn team is comprised of 30+ Penn students divided among five branches: Speaker & Content, Operations, Design, Marketing, Finance. We are recruiting members for each of these branches and encourage you to attend an information session to learn more about each team."
The Excelano Project,"The Excelano Project is the University of Pennsylvania’s first and premiere spoken word group. Supposedly derived from Latin, “excelano” means “we march forth” and from its foundation in 2001 by poets and then Penn students Carlos Gomez and Warren Longmire, EP has been doing just that. Performing on campus and having competed at the national level, The Excelano Project has made a name for itself. In 2007 and in 2009 we had the pleasure of taking home the College Union’s Poetry Slam Invitational title. Our poets have been featured at the White House, on HBO, at the famous Nuyorican Poets Cafe, on Broadway, and all around the world.

But EP goes beyond the poetry; we are a family. This group is about finding voice. It is dedicated to the power of the mic and using personal experience to touch the lives of audience members. It’s about breaking down barriers. It’s about holding a speaker up to life’s white noise, to find that every one of us can be heard."
